,Number_of_Pitches,Number_of_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Mean_Pitch,Mean_Pitch_Class,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Class_Skewness,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Standard_Triads,Diminished_and_Augmented_Triads,Non-Standard_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Mean_Rhythmic_Value,Number_of_Pitched_Instruments
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1788.mid",20.0, 8.0, 33.0, 0.1597, 0.8346, 0.005703, 60.0, 4.597, 6.558, 3.593, 0.3079, -0.3365, 2.547, 0.6118, 3.269, 0.8986, 7.0, 0.0, 0.3128, 0.009619, 0.1216, 0.2178, 0.1258, 0.01462, 0.1905, 0.5298, 0.03258, 0.3449, 0.5839, 1.57, 0.5467, 0.01333, 0.065, 2.0, 2.0, 1.0, 526.0, 1.665, 6.0, 6.0, 0.0, 0.08365, 0.7909, 0.597, 0.0, 0.02852, 1.965, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1789.mid",22.0, 9.0, 31.0, 0.2887, 0.7068, 0.004464, 59.0, 4.9, 7.118, 3.384, -0.3657, -0.08839, 2.523, 0.6152, 3.148, 0.7565, 4.0, 0.0, 0.3402, 0.006232, 0.08724, 0.1935, 0.1584, 0.02566, 0.1793, 0.46, 0.04321, 0.3978, 0.5108, 1.451, 0.4224, 0.006925, 0.0831, 2.0, 2.0, 1.0, 672.0, 1.806, 7.0, 7.0, 0.0, 0.04018, 0.8958, 0.5699, 0.004464, 0.03423, 1.744, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1790.mid",22.0, 10.0, 32.0, 0.2031, 0.7786, 0.01823, 60.0, 5.031, 6.888, 3.445, 0.05444, 0.02721, 2.668, 0.5471, 3.371, 0.7546, 3.0, 0.0, 0.3847, 0.008056, 0.09164, 0.1782, 0.145, 0.009063, 0.1742, 0.4441, 0.02689, 0.5776, 0.5862, 1.81, 0.6106, 0.03097, 0.07965, 2.0, 2.0, 1.0, 384.0, 1.655, 4.0, 4.0, 0.0, 0.0, 0.8698, 0.8021, 0.0, 0.02604, 2.036, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1791.mid",27.0, 11.0, 31.0, 0.2251, 0.7686, 0.006369, 60.0, 4.73, 6.832, 3.376, 0.04102, -0.2396, 2.486, 0.5925, 2.896, 0.7704, 4.0, 0.003122, 0.3793, 0.01041, 0.08169, 0.1977, 0.1597, 0.01717, 0.1379, 0.4173, 0.0457, 0.3829, 0.4984, 1.546, 0.4387, 0.02649, 0.1093, 2.0, 2.0, 1.0, 471.0, 1.491, 6.0, 5.0, 0.0, 0.02972, 0.9002, 0.7813, 0.0, 0.02335, 1.943, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1792.mid",23.0, 10.0, 29.0, 0.2025, 0.7975, 0.0, 59.0, 5.457, 6.72, 3.321, -0.1079, -0.4907, 2.499, 0.6316, 3.053, 0.7752, 3.0, 0.004259, 0.3453, 0.01278, 0.09214, 0.1665, 0.1599, 0.02594, 0.1738, 0.4324, 0.06647, 0.512, 0.4202, 1.21, 0.3729, 0.02654, 0.1536, 2.0, 2.0, 1.0, 716.0, 1.904, 7.0, 7.0, 0.0, 0.06704, 0.9511, 0.5433, 0.001397, 0.01397, 1.604, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1793.mid",23.0, 10.0, 33.0, 0.08817, 0.8956, 0.01624, 62.0, 5.643, 6.129, 3.331, 0.2294, -0.3218, 2.695, 0.5423, 3.459, 0.6357, 7.0, 0.00368, 0.2806, 0.00874, 0.161, 0.1946, 0.1431, 0.0207, 0.1771, 0.5327, 0.0457, 0.4262, 0.5082, 1.441, 0.5498, 0.02075, 0.1224, 2.0, 2.0, 1.0, 431.0, 1.766, 7.0, 7.0, 0.0, 0.07657, 0.8445, 0.7053, 0.00464, 0.05104, 1.958, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1794.mid",24.0, 11.0, 31.0, 0.2277, 0.7657, 0.006601, 59.0, 5.825, 7.447, 3.461, -0.1742, -0.1516, 2.781, 0.5891, 3.517, 0.6988, 4.0, 0.007299, 0.3552, 0.01946, 0.09732, 0.1703, 0.1472, 0.02616, 0.1685, 0.4361, 0.06546, 0.5284, 0.6932, 1.74, 0.5764, 0.02305, 0.1268, 2.0, 2.0, 1.0, 303.0, 1.722, 6.0, 5.0, 0.0, 0.006601, 0.8383, 0.7426, 0.0, 0.0198, 2.043, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1795.mid",22.0, 8.0, 32.0, 0.2916, 0.6957, 0.01268, 58.0, 5.067, 6.822, 3.381, 0.1052, 0.05905, 2.518, 0.6089, 3.121, 0.8053, 4.0, 0.006155, 0.3204, 0.006879, 0.126, 0.1821, 0.1539, 0.02824, 0.1694, 0.4776, 0.05059, 0.3461, 0.5579, 1.657, 0.4384, 0.005479, 0.1205, 2.0, 2.0, 1.0, 631.0, 1.661, 7.0, 6.0, 0.0, 0.01585, 0.87, 0.6371, 0.00317, 0.01902, 1.88, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1796.mid",25.0, 11.0, 31.0, 0.1636, 0.8295, 0.006865, 61.0, 4.62, 6.647, 3.363, -0.3109, -0.3389, 2.576, 0.6264, 3.189, 0.8097, 7.0, 0.001738, 0.3783, 0.00927, 0.09183, 0.1947, 0.1199, 0.02231, 0.1698, 0.4563, 0.04765, 0.5431, 0.5365, 1.509, 0.5368, 0.002334, 0.09568, 2.0, 2.0, 1.0, 874.0, 1.934, 7.0, 7.0, 0.0, 0.01373, 0.9096, 0.5069, 0.001144, 0.03661, 1.649, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1797.mid",27.0, 11.0, 31.0, 0.1585, 0.8102, 0.03128, 61.0, 4.683, 7.119, 3.392, -0.6213, -0.2804, 2.473, 0.6513, 2.929, 0.8042, 7.0, 0.003971, 0.3559, 0.008718, 0.07763, 0.2037, 0.1566, 0.03259, 0.1464, 0.4278, 0.06351, 0.3916, 0.5032, 1.202, 0.4155, 0.006495, 0.1107, 4.0, 4.0, 2.0, 3261.0, 1.974, 9.0, 9.0, 0.02085, 0.1441, 0.8746, 0.3735, 0.00828, 0.0644, 1.478, 1.0
