index,Range
1077,50
1078,48
1079,36
1080,36
1081,31
1082,45
1083,38
1084,45
1085,24
1086,37
1087,37
1088,36
1089,36
1090,38
1091,36
1092,38
1093,31
1094,31
1095,43
1096,43
1097,31
1098,43
1099,43
1100,32
1101,32
1102,32
1103,26
1104,19
1105,24
1106,21
1107,14
1108,31
1109,24
1110,28
1111,26
1112,40
1113,34
1114,34
1115,34
1116,36
1117,36
1118,36
1119,24
1120,36
1121,32
1122,34
1123,34
1124,24
1125,34
1126,32
1127,32
1128,27
1129,32
1130,32
1131,31
1132,26
1133,31
1134,31
1135,31
1136,31
1137,38
1138,31
1139,31
1140,31
1141,36
1142,36
1143,24
1144,24
1145,31
1146,34
1147,19
1148,19
1149,17
1150,31
1151,39
1152,27
1153,26
1154,31
1155,29
1156,24
1157,34
1158,33
1159,33
1160,24
1161,36
1162,26
1163,38
1164,43
1165,43
1166,33
1167,12
1168,27
1169,16
1170,33
1171,39
1172,27
1173,36
1174,11
1175,11
1176,28
1177,36
1178,36
1179,31
1180,31
1181,31
1182,34
1183,34
1184,34
1185,38
1186,31
1187,33
1188,29
1189,39
1190,39
1191,37
1192,34
1193,34
1194,32
1195,39
1196,32
1197,39
1198,34
1199,32
1200,34
1201,33
1202,31
1203,33
1204,33
1205,26
1206,33
1207,37
1208,37
1209,34
1210,34
1211,34
1212,32
1213,39
1214,37
1215,39
1216,34
1217,32
1218,32
1219,31
1220,31
1221,31
1222,26
1223,26
1224,26
1225,39
1226,36
1227,39
1228,34
1229,34
1230,34
1231,39
1232,36
1233,39
1234,34
1235,31
1236,29
1237,34
1238,34
1239,31
1240,31
1241,31
1242,26
1243,39
1244,39
1245,37
1246,36
1247,36
1248,34
1249,38
1250,33
1251,36
1252,33
1253,33
1254,26
1255,36
1256,36
1257,33
1258,31
1259,31
1260,28
1261,36
1262,36
1263,36
1264,31
1265,31
1266,31
1267,36
1268,34
1269,36
1270,36
1271,34
1272,36
1273,34
1274,34
1275,33
1276,34
1277,34
1278,28
1279,36
1280,36
1281,36
1282,36
1283,36
1284,36
1285,26
1286,24
1287,26
1288,26
1289,24
1290,26
1291,31
1292,31
1293,31
1294,29
1295,29
1296,29
1297,23
